week_idx,eval_start,revenue
0,8760,16234.5080000000
1,8928,10319.3272500000
2,9096,15745.7240000000
3,9264,21949.0832500000
4,9432,19592.5107500000
5,9600,18423.2705000000
6,9768,10708.3247500000
7,9936,18364.0160000000
8,10104,25163.0967500000
9,10272,24377.1950000000
10,10440,19087.6040000000
11,10608,23248.5495000000
12,10776,20676.7535000000
13,10944,26021.9570000000
14,11112,18089.0817500000
15,11280,18138.4345000000
16,11448,18364.9612500000
17,11616,15344.3602500000
18,11784,14337.7097500000
19,11952,29169.8195000000
20,12120,63008.3247500000
21,12288,17610.6902500000
22,12456,33098.5730000000
23,12624,42146.6217500000
24,12792,17633.6525000000
25,12960,9952.4165000000
26,13128,9373.4202500000
27,13296,13492.3372500000
28,13464,32145.2157500000
29,13632,21.0205000000
30,13800,9119.0822500000
31,13968,6910.4010000000
32,14136,36959.1665000000
33,14304,4085.8637500000
34,14472,-1682.4147500000
35,14640,2350.9690000000
36,14808,4607.4455000000
37,14976,8023.2132500000
38,15144,6063.8390000000
39,15312,692.7542500000
40,15480,5910.5572500000
41,15648,4369.8660000000
42,15816,1212.2572500000
43,15984,3289.8585000000
44,16152,2492.3045000000
45,16320,5006.8950000000
46,16488,12085.1307500000
47,16656,15763.8050000000
48,16824,14413.5545000000
49,16992,9376.5157500000
50,17160,17699.0740000000
51,17328,19869.9537500000
52,17496,17528.5385000000
53,17664,25125.7505000000
54,17832,26161.6930000000
55,18000,18642.6632500000
56,18168,32257.1287500000
57,18336,24560.8220000000
58,18504,27929.3507500000
59,18672,27384.7582500000
60,18840,25320.5890000000
61,19008,21894.5040000000
62,19176,21517.6342500000
63,19344,20711.6435000000
64,19512,18889.0272500000
65,19680,17930.8410000000
66,19848,14372.4070000000
67,20016,11692.7890000000
68,20184,14048.8415000000
69,20352,13775.3847500000
70,20520,11459.1340000000
71,20688,11557.7605000000
72,20856,9200.0750000000
73,21024,4550.6732500000
74,21192,6776.2587500000
75,21360,5875.8682500000
76,21528,8300.8437500000
77,21696,6592.6742500000
78,21864,10599.7420000000
79,22032,8716.1150000000
80,22200,10800.0417500000
81,22368,8585.9382500000
82,22536,7566.9155000000
83,22704,4834.3030000000
84,22872,1687.2385000000
85,23040,7183.9245000000
86,23208,12513.3430000000
87,23376,8015.9222500000
88,23544,10537.6405000000
89,23712,5758.5720000000
90,23880,-2822.0727500000
91,24048,3367.8345000000
92,24216,2285.1122500000
93,24384,2808.7642500000
94,24552,-337.9082500000
95,24720,-1883.1222500000
96,24888,4553.4750000000
97,25056,49.5535000000
98,25224,10324.1615000000
99,25392,12136.4462500000
100,25560,6469.1510000000
101,25728,8990.1305000000
102,25896,9330.8182500000
103,26064,4027.7565000000
104,26232,8297.3282500000
105,26400,8699.3207500000
106,26568,18524.4830000000
107,26736,22154.5420000000
108,26904,25293.1365000000
109,27072,14414.3955000000
110,27240,16077.5170000000
111,27408,11296.1720000000
112,27576,17748.8485000000
113,27744,10564.8917500000
