week_idx,eval_start,revenue
0,8760,4345.2500000000
1,8928,4056.5000000000
2,9096,5367.7500000000
3,9264,3761.2500000000
4,9432,4576.7500000000
5,9600,3844.7500000000
6,9768,4475.2500000000
7,9936,3124.7500000000
8,10104,2969.7500000000
9,10272,3077.2500000000
10,10440,2627.0000000000
11,10608,1723.0000000000
12,10776,2041.7500000000
13,10944,1653.5000000000
14,11112,1545.0000000000
15,11280,519.5000000000
16,11448,842.0000000000
17,11616,2040.2500000000
18,11784,1735.7500000000
19,11952,2112.7500000000
20,12120,2833.2500000000
21,12288,2517.5000000000
22,12456,4942.0000000000
23,12624,3612.0000000000
24,12792,6360.0000000000
25,12960,5633.0000000000
26,13128,7124.5000000000
27,13296,7993.7500000000
28,13464,10721.5000000000
29,13632,9626.2500000000
30,13800,7422.5000000000
31,13968,7204.5000000000
32,14136,6948.0000000000
33,14304,7524.2500000000
34,14472,6047.7500000000
35,14640,5069.5000000000
36,14808,3502.7500000000
37,14976,2839.2500000000
38,15144,4862.2500000000
39,15312,2882.0000000000
40,15480,4082.7500000000
41,15648,4121.2500000000
42,15816,4541.5000000000
43,15984,5395.7500000000
44,16152,3118.7500000000
45,16320,6570.7500000000
46,16488,5631.7500000000
47,16656,4008.0000000000
48,16824,5318.7500000000
49,16992,5114.2500000000
50,17160,18.0000000000
51,17328,5389.2500000000
52,17496,3166.2500000000
53,17664,4337.2500000000
54,17832,5560.0000000000
55,18000,5059.0000000000
56,18168,1515.7500000000
57,18336,3629.7500000000
58,18504,0.0000000000
59,18672,939.7500000000
60,18840,2233.5000000000
61,19008,1190.2500000000
62,19176,4841.5000000000
63,19344,3043.0000000000
64,19512,4356.0000000000
65,19680,4127.0000000000
66,19848,3202.7500000000
67,20016,3680.0000000000
68,20184,3276.5000000000
69,20352,6378.2500000000
70,20520,3386.7500000000
71,20688,3684.2500000000
72,20856,7047.0000000000
73,21024,5243.2500000000
74,21192,9866.7500000000
75,21360,6006.2500000000
76,21528,8126.5000000000
77,21696,12323.2500000000
78,21864,11660.0000000000
79,22032,12818.2500000000
80,22200,13797.2500000000
81,22368,12239.5000000000
82,22536,6709.5000000000
83,22704,13389.5000000000
84,22872,14061.0000000000
85,23040,14303.0000000000
86,23208,17414.2500000000
87,23376,5659.7500000000
88,23544,8509.0000000000
89,23712,12121.0000000000
90,23880,8656.0000000000
91,24048,7928.5000000000
92,24216,11168.7500000000
93,24384,10799.2500000000
94,24552,11801.5000000000
95,24720,10906.2500000000
96,24888,10904.5000000000
97,25056,10890.7500000000
98,25224,10592.5000000000
99,25392,8957.7500000000
100,25560,9277.7500000000
101,25728,6839.5000000000
102,25896,10908.0000000000
103,26064,7053.0000000000
104,26232,7604.5000000000
105,26400,2317.7500000000
106,26568,19787.5000000000
107,26736,10116.7500000000
108,26904,5384.0000000000
109,27072,10691.0000000000
110,27240,9864.7500000000
111,27408,3483.5000000000
112,27576,13428.2500000000
113,27744,9119.0000000000
114,27912,4654.0000000000
115,28080,5457.2500000000
116,28248,7797.0000000000
117,28416,4614.0000000000
118,28584,6547.0000000000
119,28752,9067.5000000000
120,28920,4654.7500000000
121,29088,7408.5000000000
122,29256,10629.0000000000
123,29424,14585.7500000000
124,29592,25826.2500000000
125,29760,18438.2500000000
126,29928,8253.2500000000
127,30096,14387.7500000000
128,30264,17039.0000000000
129,30432,17235.7500000000
130,30600,24934.0000000000
131,30768,22363.7500000000
132,30936,26055.2500000000
133,31104,46543.5000000000
134,31272,33555.0000000000
135,31440,47451.5000000000
136,31608,20210.2500000000
137,31776,26967.2500000000
138,31944,40645.0000000000
139,32112,21064.2500000000
140,32280,21007.5000000000
141,32448,22426.2500000000
142,32616,11497.0000000000
143,32784,9170.7500000000
144,32952,12167.7500000000
145,33120,12444.2500000000
146,33288,9099.0000000000
147,33456,10887.5000000000
148,33624,9708.0000000000
149,33792,15167.7500000000
150,33960,18191.7500000000
151,34128,8401.5000000000
152,34296,13936.0000000000
153,34464,13842.0000000000
154,34632,24596.2500000000
155,34800,15929.7500000000
156,34968,2024.2500000000
157,35136,9652.2500000000
158,35304,7324.2500000000
159,35472,6588.5000000000
160,35640,9168.2500000000
161,35808,19918.5000000000
162,35976,5759.7500000000
163,36144,5908.2500000000
164,36312,8894.2500000000
165,36480,5752.0000000000
166,36648,6718.0000000000
167,36816,5448.2500000000
168,36984,6472.5000000000
169,37152,5567.0000000000
170,37320,6527.0000000000
171,37488,10668.0000000000
172,37656,5206.7500000000
173,37824,2876.2500000000
174,37992,4256.5000000000
175,38160,9771.5000000000
176,38328,5848.2500000000
177,38496,5818.2500000000
178,38664,7916.0000000000
179,38832,6231.7500000000
180,39000,6657.7500000000
181,39168,8108.2500000000
182,39336,8337.0000000000
183,39504,16642.7500000000
184,39672,16700.7500000000
185,39840,11608.5000000000
186,40008,29238.2500000000
187,40176,6243.0000000000
188,40344,8786.2500000000
189,40512,9670.0000000000
190,40680,5855.5000000000
191,40848,10889.7500000000
192,41016,16402.0000000000
193,41184,5481.7500000000
194,41352,6573.2500000000
195,41520,7304.7500000000
196,41688,9532.2500000000
197,41856,9822.7500000000
198,42024,10880.7500000000
199,42192,9750.0000000000
200,42360,7384.0000000000
201,42528,7511.7500000000
202,42696,7684.2500000000
203,42864,9530.5000000000
204,43032,6676.2500000000
205,43200,9326.2500000000
206,43368,6998.7500000000
207,43536,5211.2500000000
208,43704,6237.2500000000
209,43872,8907.0000000000
210,44040,10935.7500000000
211,44208,11289.7500000000
212,44376,4874.0000000000
213,44544,3700.7500000000
214,44712,3339.7500000000
215,44880,5281.7500000000
216,45048,2972.2500000000
217,45216,4995.0000000000
218,45384,4327.2500000000
219,45552,3810.5000000000
220,45720,2798.0000000000
221,45888,2592.7500000000
222,46056,2729.0000000000
223,46224,5097.2500000000
224,46392,3263.2500000000
225,46560,3875.2500000000
226,46728,5071.7500000000
227,46896,4572.7500000000
228,47064,5402.7500000000
229,47232,11351.2500000000
230,47400,7054.2500000000
231,47568,6855.5000000000
232,47736,13975.5000000000
233,47904,25399.7500000000
234,48072,9328.2500000000
235,48240,17898.7500000000
236,48408,37011.2500000000
237,48576,17464.0000000000
238,48744,11928.0000000000
239,48912,22859.2500000000
240,49080,6780.5000000000
241,49248,8184.0000000000
242,49416,11165.5000000000
243,49584,9512.2500000000
244,49752,7719.5000000000
245,49920,10258.0000000000
246,50088,7171.5000000000
247,50256,7490.0000000000
248,50424,9449.7500000000
249,50592,9916.7500000000
250,50760,9921.2500000000
251,50928,10122.7500000000
252,51096,9760.7500000000
